id,language,user_agent,browser_language,created_at,device_type,ip,city,country,latitude,longitude,region,operating_system,raw_request_body,referrer,color_depth,height,width,time_zone,profile_id
659,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36,en-US,2024-09-24 08:36:06.143421,Desktop,119.73.97.104,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/dashboard/employee/edit-employee?id=2,24,864,1536,Asia/Karachi,552
1305,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,en-US,2024-09-27 16:44:15.253458,Desktop,197.205.56.8,Blida,DZ,36.4700,2.8277,Blida,UNIX,,,24,1080,1920,UTC,805
1411,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-09-30 10:06:53.011631,Desktop,102.213.69.214,Huruta,ET,8.1500,39.3500,Oromiya,MacOS,,http://localhost:3000/en/session-expired,30,800,1280,Africa/Addis_Ababa,302
1761,en-IN,Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/129.0.6668.70 Mobile Safari/537.36,en-IN,2024-10-04 06:53:58.570564,Mobile,103.87.56.114,Meerut,IN,28.9800,77.7064,Uttar Pradesh,Linux,,,24,780,360,Asia/Calcutta,257
2608,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-11 10:23:54.926440,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,https://dev.pamifactura.com/en/session-expired,24,864,1536,America/Los_Angeles,2002
2653,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-14 08:42:36.120458,Desktop,223.123.11.124,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,https://dev.pamifactura.com/es/session-expired,24,864,1536,Asia/Karachi,106
2655,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-14 08:46:28.653172,Desktop,223.123.11.124,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,54
3358,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-18 03:45:50.362693,Desktop,223.123.16.254,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,http://localhost:3000/en/session-expired,24,768,1366,America/Los_Angeles,1652
3659,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-22 05:23:05.925858,Desktop,188.190.74.72,Kropyvnytskyy,UA,48.5083,32.2662,Kirovohrad,Windows,,,24,720,1280,Europe/Kiev,2253
4055,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-GB,2024-10-22 15:05:02.177141,Desktop,196.190.62.148,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,https://www.google.com/,24,864,1536,Africa/Nairobi,2252
4056,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-GB,2024-10-22 15:07:37.951518,Desktop,196.190.62.148,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,https://www.google.com/,24,864,1536,Africa/Nairobi,2352
4058,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 01:19:39.761521,Desktop,104.243.213.69,Newark,US,40.7357,-74.1724,New Jersey,Windows,,,24,768,1366,Africa/Nairobi,2057
