id,code,name,canton_id
218,2,LAGUNA,32
219,3,TAPEZCO,32
220,4,GUADALUPE,32
221,5,PALMIRA,32
222,6,ZAPOTE,32
223,7,BRISAS,32
224,1,SARCHÍ NORTE,33
225,2,SARCHÍ SUR,33
226,3,TORO AMARILLO,33
227,4,SAN PEDRO,33
228,5,RODRÍGUEZ,33
229,1,UPALA,34
230,2,AGUAS CLARAS,34
231,3,SAN JOSÉ O PIZOTE,34
232,4,BIJAGUA,34
233,5,DELICIAS,34
234,6,DOS RÍOS,34
235,7,YOLILLAL,34
236,8,CANALETE,34
237,1,LOS CHILES,35
238,2,CAÑO NEGRO,35
239,3,EL AMPARO,35
240,4,SAN JORGE,35
241,1,SAN RAFAEL,36
242,2,BUENA VISTA,36
243,2,Buenavista,36
244,3,COTE ,36
245,3,Cote,36
246,4,KATIRA,36
247,1,RÍO CUARTO,37
248,2,SANTA RITA,37
249,3,SANTA ISABEL,37
250,1,ORIENTAL,38
251,1,Oriental  ,38
252,2,OCCIDENTAL ,38
253,2,Occidental  ,38
254,3,CARMEN,38
255,4,SAN NICOLÁS,38
256,5,AGUACALIENTE O SAN FRANCISCO,38
257,6,GUADALUPE O ARENILLA,38
258,7,CORRALILLO,38
259,8,TIERRA BLANCA,38
260,9,DULCE NOMBRE,38
261,10,LLANO GRANDE,38
262,11,QUEBRADILLA,38
263,1,PARAÍSO,39
264,2,SANTIAGO,39
265,3,OROSI,39
266,4,CACHÍ,39
267,5,LLANOS DE SANTA LUCIA,39
268,6,BIRRISITO,39
269,1,TRES RÍOS,40
270,2,SAN DIEGO,40
271,3,SAN JUAN,40
272,4,SAN RAFAEL,40
273,5,CONCEPCIÓN,40
274,6,DULCE NOMBRE,40
275,7,SAN RAMÓN,40
276,8,RÍO AZUL,40
277,1,JUAN VIÑAS,41
278,2,TUCURRIQUE,41
279,3,PEJIBAYE,41
280,4,La Victoria,41
281,1,TURRIALBA,42
282,2,LA SUIZA,42
283,3,PERALTA,42
284,4,SANTA CRUZ,42
285,5,SANTA TERESITA,42
286,6,PAVONES,42
287,7,TUIS,42
288,8,TAYUTIC,42
289,9,SANTA ROSA,42
290,10,TRES EQUIS,42
291,11,LA ISABEL ,42
292,11,La Isabel,42
293,12,CHIRRIPÓ,42
294,1,PACAYAS,43
295,2,CERVANTES,43
296,3,CAPELLADES,43
297,1,SAN RAFAEL,44
298,2,COT,44
299,3,POTRERO CERRADO,44
300,4,CIPRESES,44
301,5,SANTA ROSA,44
302,1,EL TEJAR,45
303,2,SAN ISIDRO,45
304,3,TOBOSI,45
305,4,PATIO DE AGUA,45
306,1,HEREDIA,46
307,2,MERCEDES,46
308,3,SAN FRANCISCO,46
309,4,ULLOA,46
310,4,Ulloa  ,46
311,5,VARA BLANCA,46
312,1,BARVA,47
313,2,SAN PEDRO,47
314,3,SAN PABLO,47
315,4,SAN ROQUE,47
316,5,SANTA LUCÍA,47
