profile_id,lawyers_id
52,2
54,204
54,205
54,206
54,207
56,1053
58,1103
58,1104
58,1256
103,602
208,802
255,252
303,559
307,1202
356,652
356,752
452,853
2354,554
2355,555
2356,556
2357,557
2358,558
3552,702
3602,1402
3602,1403
4052,852
4504,1152
4504,1258
4504,1260
4504,1261
4603,1003
4703,1052
5202,1302
