id,attempts,currency,description,end_at,first_amount,frecuency,tilo_pay_id,tilo_pay_response_message,tilo_pay_response_status,tilo_pay_response_type,tilo_pay_responseurl,title,trial,trial_days
152,3,USD,SANDBOX - PamiFactura Monthly Sender Plan,,0.00,3,2020,Success,1,200,https://tilo.co/link/TWpBeU1BPT18MQ==,SANDBOX - PamiFactura Monthly Sender Plan,0,0
153,3,USD,SANDBOX - PamiFactura Monthly Contractor Plan,,0.00,3,2021,Success,1,200,https://tilo.co/link/TWpBeU1RPT18MQ==,SANDBOX - PamiFactura Monthly Contractor Plan,0,0
154,3,USD,SANDBOX - PamiFactura Annual Accountant Plan,,0.00,4,2022,Success,1,200,https://tilo.co/link/TWpBeU1nPT18MQ==,SANDBOX - PamiFactura Annual Accountant Plan,0,0
155,3,USD,SANDBOX - PamiFactura Annual Lawyer Plan,,0.00,4,2023,Success,1,200,https://tilo.co/link/TWpBeU13PT18MQ==,SANDBOX - PamiFactura Annual Lawyer Plan,0,0
156,3,USD,SANDBOX - PamiFactura Annual Lawyer & Accountant Plan,,0.00,4,2024,Success,1,200,https://tilo.co/link/TWpBeU5BPT18MQ==,SANDBOX - PamiFactura Annual Lawyer & Accountant Plan,0,0
252,3,USD,PamiFactura Monthly Receiver Plan,,0.00,3,2322,Success,1,200,https://tilo.co/link/TWpNeU1nPT18MQ==,PamiFactura Monthly Receiver Plan,0,0
