id,created_at,end_date,start_date,updated_at,subscription_plan_id,tilo_pay_modality_id,canceled_at
102,2024-08-08 07:46:29.717669,2025-09-09 02:48:29.002020,2024-08-08 07:46:29.712614,2024-09-09 02:48:29.005247,,152,
152,2024-09-09 08:28:46.298631,2024-10-09 00:00:00,2024-09-09 08:28:46.288070,2024-09-09 08:48:48.650433,,252,2024-09-09 08:48:48.647387
202,2024-09-09 11:37:36.317034,2024-10-09 00:00:00,2024-09-09 11:37:36.310204,2024-09-09 11:42:30.930617,,253,2024-09-09 11:42:30.928353
203,2024-09-09 11:53:04.877627,2024-10-09 00:00:00,2024-09-09 11:53:04.874059,2024-09-09 11:54:58.172960,,254,2024-09-09 11:54:58.170087
204,2024-09-09 12:07:50.864236,2025-10-09 03:04:05.232330,2024-09-09 12:07:50.860028,2024-10-09 03:04:05.240646,,152,
